"codcompra","mododisputa","disputaaberto","aditivos","vigencia_inicio","vigencia_fim","anos","valor_inicial","valor_global","diferenca_valor","percentual_diferenca_valor"
"15275799000012020","Aberto","True","5","2021-01-18","2022-03-18","1.0","299833.16","0.0","-299833.16","-100.0"
"15305299000022020","Aberto","True","5","2021-01-04","2021-05-18","0.0","118091.59","118091.58","-0.01","-8.468003521673305e-06"
"15305299000042020","Aberto","True","5","2020-12-30","2021-05-13","1.0","453557.81","453557.81","0.0","0.0"
"15306199000032020","Fechado","False","2","2021-04-05","2023-07-08","2.0","2665392.49","3765378.88","1099986.39","41.269208723552744"
"15306399000022020","Aberto","True","4","2021-01-18","2022-04-29","1.0","2149451.77","2302877.81","153426.04","7.13791498564306"
"15316399000012020","Fechado","False","5","2020-08-19","2023-12-24","3.0","4562874.7","5713523.81","1150649.11","25.21763549632428"
"15316399000032020","Fechado","False","5","2020-07-24","2022-03-18","2.0","254228.6","269427.24","15198.64","5.978336033003368"
"15316399000082020","Fechado","False","5","2021-05-14","2022-07-07","1.0","158886.26","192007.18","33120.92","20.84567916697139"
"15316699000022020","Fechado/Aberto","True","1","2020-12-17","2021-09-16","1.0","1305777.96","1305777.96","0.0","0.0"
"15316699000032020","Fechado/Aberto","True","1","2021-01-20","2022-04-25","1.0","354071.96","281265.16","-72806.8","-20.562712732180202"
"15317799000012020","Aberto","True","7","2021-01-11","2022-12-27","1.0","2297240.89","2388981.89","91741.0","3.9935298208974506"
"15317799000022020","Aberto","True","7","2021-01-11","2023-10-13","2.0","1410000.0","1561057.03","151057.03","10.713264539007092"
"15403999000032020","Fechado","False","8","2020-11-03","2024-07-03","4.0","5443008.6","7962845.53","2519836.93","46.29492832328063"
"15403999000052020","Fechado","False","8","2020-11-03","2023-11-03","3.0","5306443.2","7419248.22","2112805.02","39.81584161684798"
"15403999000062020","Fechado","False","8","2021-10-04","2022-05-31","1.0","393736.29","393736.29","0.0","0.0"
"15403999000072020","Fechado","False","8","2020-11-03","2021-07-15","1.0","166566.52","166566.52","0.0","0.0"
"15404099000012020","Aberto","True","17","2020-12-04","2021-09-30","1.0","159800.0","181077.02","21277.02","13.314780976220275"
"15404099000022020","Aberto","True","17","2020-10-20","2020-12-30","0.0","6799000.0","6799000.0","0.0","0.0"
"15404099000032020","Aberto","True","17","2020-11-12","2021-08-12","1.0","399800.0","399800.0","0.0","0.0"
"15404099000072020","Aberto","True","17","2021-01-22","2021-12-22","0.0","488999.53","488999.53","0.0","0.0"
"15404099000082020","Aberto","True","17","2021-01-22","2021-12-22","0.0","491657.58","491657.58","0.0","0.0"
"15404199000012020","Fechado","False","9","2020-06-02","2022-05-28","2.0","2558369.51","2554531.96","-3837.55","-0.14999983329225966"
"15404199000032020","Fechado","False","9","2020-11-10","2022-05-29","2.0","924362.71","924362.71","0.0","0.0"
"15404199000052020","Fechado","False","9","2021-07-27","2024-01-18","3.0","3090664.89","4139440.97","1048776.08","33.9336717931914"
